%
%Learning for alphabet categorical data
%of vectorized 7x7 matrix representations
%

@RELATION 'AlphabetMatrixRepresentations'

@ATTRIBUTE pos0 NUMERIC
@ATTRIBUTE pos1 NUMERIC
@ATTRIBUTE pos2 NUMERIC
@ATTRIBUTE pos3 NUMERIC
@ATTRIBUTE pos4 NUMERIC
@ATTRIBUTE pos5 NUMERIC
@ATTRIBUTE pos6 NUMERIC
@ATTRIBUTE pos7 NUMERIC
@ATTRIBUTE pos8 NUMERIC
@ATTRIBUTE pos9 NUMERIC
@ATTRIBUTE pos10 NUMERIC
@ATTRIBUTE pos11 NUMERIC
@ATTRIBUTE pos12 NUMERIC
@ATTRIBUTE pos13 NUMERIC
@ATTRIBUTE pos14 NUMERIC
@ATTRIBUTE pos15 NUMERIC
@ATTRIBUTE pos16 NUMERIC
@ATTRIBUTE pos17 NUMERIC
@ATTRIBUTE pos18 NUMERIC
@ATTRIBUTE pos19 NUMERIC
@ATTRIBUTE pos20 NUMERIC
@ATTRIBUTE pos21 NUMERIC
@ATTRIBUTE pos22 NUMERIC
@ATTRIBUTE pos23 NUMERIC
@ATTRIBUTE pos24 NUMERIC
@ATTRIBUTE pos25 NUMERIC
@ATTRIBUTE pos26 NUMERIC
@ATTRIBUTE pos27 NUMERIC
@ATTRIBUTE pos28 NUMERIC
@ATTRIBUTE pos29 NUMERIC
@ATTRIBUTE pos30 NUMERIC
@ATTRIBUTE pos31 NUMERIC
@ATTRIBUTE pos32 NUMERIC
@ATTRIBUTE pos33 NUMERIC
@ATTRIBUTE pos34 NUMERIC
@ATTRIBUTE pos35 NUMERIC
@ATTRIBUTE pos36 NUMERIC
@ATTRIBUTE pos37 NUMERIC
@ATTRIBUTE pos38 NUMERIC
@ATTRIBUTE pos39 NUMERIC
@ATTRIBUTE pos40 NUMERIC
@ATTRIBUTE pos41 NUMERIC
@ATTRIBUTE pos42 NUMERIC
@ATTRIBUTE pos43 NUMERIC
@ATTRIBUTE pos44 NUMERIC
@ATTRIBUTE pos45 NUMERIC
@ATTRIBUTE pos46 NUMERIC
@ATTRIBUTE pos47 NUMERIC
@ATTRIBUTE pos48 NUMERIC

@ATTRIBUTE class {A,B,C,D,E,F,G,H,I,J} 

@DATA
1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,A
1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,A
1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,A
0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,A
0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,A
1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,A
0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,A
1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,A
0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,A
1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,A
1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,A
0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,A
0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,A
0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,A
0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,A
0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,A
0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,A
0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,A
0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,A
1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,A
0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,A
1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,A
0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,A
1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,A
0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,A
1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,A
0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,A
0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,A
1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,A
0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,A
